Dep_Airport,Arr_Airport,avg_duration,distance_type
ATL,DTW,109.0,Short Haul >1500Mi
ATL,ECP,60.0,Short Haul >1500Mi
ATL,EGE,209.0,Short Haul >1500Mi
ATL,ELP,190.0,Short Haul >1500Mi
ATL,EVV,76.0,Short Haul >1500Mi
ATL,EWR,126.0,Short Haul >1500Mi
ATL,EYW,106.0,Short Haul >1500Mi
ATL,FAY,70.0,Short Haul >1500Mi
ATL,FLL,106.0,Short Haul >1500Mi
ATL,FSD,153.0,Short Haul >1500Mi
ATL,FWA,96.0,Short Haul >1500Mi
ATL,GEG,276.0,Medium Haul <3000Mi
ATL,GNV,64.0,Short Haul >1500Mi
ATL,GPT,75.0,Short Haul >1500Mi
ATL,GRB,126.0,Short Haul >1500Mi
ATL,GRR,106.0,Short Haul >1500Mi
ATL,GSO,68.0,Short Haul >1500Mi
ATL,GSP,48.0,Short Haul >1500Mi
ATL,GTR,64.0,Short Haul >1500Mi
ATL,HDN,221.0,Short Haul >1500Mi
ATL,HHH,65.0,Short Haul >1500Mi
ATL,HNL,579.0,Long Haul <6000Mi
ATL,HOU,123.0,Short Haul >1500Mi
ATL,HPN,132.0,Short Haul >1500Mi
ATL,HSV,51.0,Short Haul >1500Mi
ATL,IAD,98.0,Short Haul >1500Mi
ATL,IAH,129.0,Short Haul >1500Mi
ATL,ICT,131.0,Short Haul >1500Mi
ATL,ILM,75.0,Short Haul >1500Mi
ATL,IND,85.0,Short Haul >1500Mi
ATL,JAC,232.0,Medium Haul <3000Mi
ATL,JAN,73.0,Short Haul >1500Mi
ATL,JAX,63.0,Short Haul >1500Mi
ATL,JFK,131.0,Short Haul >1500Mi
ATL,LAS,259.0,Medium Haul <3000Mi
ATL,LAX,283.0,Medium Haul <3000Mi
ATL,LEX,68.0,Short Haul >1500Mi
ATL,LFT,102.0,Short Haul >1500Mi
ATL,LGA,124.0,Short Haul >1500Mi
ATL,LIT,88.0,Short Haul >1500Mi
ATL,MCI,124.0,Short Haul >1500Mi
ATL,MCO,85.0,Short Haul >1500Mi
ATL,MDT,104.0,Short Haul >1500Mi
ATL,MDW,107.0,Short Haul >1500Mi
ATL,MEM,74.0,Short Haul >1500Mi
ATL,MGM,52.0,Short Haul >1500Mi
ATL,MIA,110.0,Short Haul >1500Mi
ATL,MKE,113.0,Short Haul >1500Mi
ATL,MLB,82.0,Short Haul >1500Mi
ATL,MLI,113.0,Short Haul >1500Mi
ATL,MLU,90.0,Short Haul >1500Mi
ATL,MOB,73.0,Short Haul >1500Mi
ATL,MSN,116.0,Short Haul >1500Mi
ATL,MSP,150.0,Short Haul >1500Mi
ATL,MSY,88.0,Short Haul >1500Mi
ATL,MTJ,217.5,Short Haul >1500Mi
ATL,MYR,65.0,Short Haul >1500Mi
ATL,OAJ,78.0,Short Haul >1500Mi
ATL,OAK,299.5,Medium Haul <3000Mi
ATL,OGG,607.0,Long Haul <6000Mi
ATL,OKC,127.0,Short Haul >1500Mi
ATL,OMA,136.0,Short Haul >1500Mi
ATL,ONT,271.0,Medium Haul <3000Mi
ATL,ORD,123.0,Short Haul >1500Mi
ATL,ORF,89.0,Short Haul >1500Mi
ATL,PBI,103.0,Short Haul >1500Mi
ATL,PDX,303.0,Medium Haul <3000Mi
ATL,PHL,114.0,Short Haul >1500Mi
ATL,PHX,243.0,Medium Haul <3000Mi
ATL,PIT,93.0,Short Haul >1500Mi
ATL,PNS,66.0,Short Haul >1500Mi
ATL,PSP,278.0,Medium Haul <3000Mi
ATL,PVD,134.0,Short Haul >1500Mi
ATL,PWM,148.0,Short Haul >1500Mi
ATL,RDU,77.0,Short Haul >1500Mi
ATL,RIC,87.0,Short Haul >1500Mi
ATL,ROA,81.0,Short Haul >1500Mi
ATL,ROC,118.0,Short Haul >1500Mi
ATL,RSW,93.0,Short Haul >1500Mi
ATL,SAN,272.0,Medium Haul <3000Mi
ATL,SAT,145.0,Short Haul >1500Mi
ATL,SAV,59.0,Short Haul >1500Mi
ATL,SBN,104.0,Short Haul >1500Mi
ATL,SCE,106.0,Short Haul >1500Mi
ATL,SDF,73.0,Short Haul >1500Mi
ATL,SEA,318.0,Medium Haul <3000Mi
ATL,SFO,306.0,Medium Haul <3000Mi
ATL,SGF,107.0,Short Haul >1500Mi
ATL,SHV,105.0,Short Haul >1500Mi
ATL,SJC,296.0,Medium Haul <3000Mi
ATL,SJU,208.0,Medium Haul <3000Mi
ATL,SLC,238.0,Medium Haul <3000Mi
ATL,SMF,294.0,Medium Haul <3000Mi
ATL,SNA,280.0,Medium Haul <3000Mi
ATL,SRQ,86.0,Short Haul >1500Mi
ATL,STL,96.0,Short Haul >1500Mi
ATL,STT,212.0,Medium Haul <3000Mi
ATL,STX,210.0,Medium Haul <3000Mi
ATL,SYR,124.0,Short Haul >1500Mi
ATL,TLH,57.0,Short Haul >1500Mi
ATL,TPA,81.0,Short Haul >1500Mi
ATL,TRI,61.0,Short Haul >1500Mi
ATL,TTN,120.0,Short Haul >1500Mi
ATL,TUL,116.0,Short Haul >1500Mi
ATL,TUS,229.0,Medium Haul <3000Mi
ATL,TVC,126.5,Short Haul >1500Mi
ATL,TYS,50.0,Short Haul >1500Mi
ATL,VLD,61.0,Short Haul >1500Mi
ATL,VPS,65.0,Short Haul >1500Mi
ATL,XNA,107.0,Short Haul >1500Mi
ATW,ATL,127.0,Short Haul >1500Mi
ATW,AZA,223.0,Short Haul >1500Mi
ATW,BNA,103.5,Short Haul >1500Mi
ATW,CLT,143.0,Short Haul >1500Mi
ATW,DEN,164.0,Short Haul >1500Mi
ATW,DTW,73.0,Short Haul >1500Mi
ATW,FLL,207.5,Short Haul >1500Mi
ATW,LAS,233.0,Medium Haul <3000Mi
ATW,MSP,67.0,Short Haul >1500Mi
ATW,ORD,72.0,Short Haul >1500Mi
ATW,PDX,244.0,Medium Haul <3000Mi
ATW,PGD,184.0,Short Haul >1500Mi
ATW,PIE,171.0,Short Haul >1500Mi
ATW,SAV,137.0,Short Haul >1500Mi
ATW,SFB,170.0,Short Haul >1500Mi
ATW,SRQ,177.0,Short Haul >1500Mi
AUS,ABQ,109.0,Short Haul >1500Mi
AUS,AGS,143.0,Short Haul >1500Mi
AUS,AMA,79.0,Short Haul >1500Mi
AUS,ASE,145.0,Short Haul >1500Mi
AUS,ATL,123.0,Short Haul >1500Mi
AUS,AVL,136.0,Short Haul >1500Mi
AUS,BHM,111.0,Short Haul >1500Mi
AUS,BNA,116.0,Short Haul >1500Mi
AUS,BOS,229.0,Medium Haul <3000Mi
AUS,BUR,192.0,Short Haul >1500Mi
AUS,BWI,179.0,Short Haul >1500Mi
AUS,BZN,191.0,Short Haul >1500Mi
AUS,CHS,148.0,Short Haul >1500Mi
AUS,CLT,156.0,Short Haul >1500Mi
AUS,CMH,149.0,Short Haul >1500Mi
AUS,CVG,145.0,Short Haul >1500Mi
AUS,DAL,54.0,Short Haul >1500Mi
AUS,DCA,180.0,Short Haul >1500Mi
AUS,DEN,130.0,Short Haul >1500Mi
AUS,DFW,65.0,Short Haul >1500Mi
AUS,DSM,125.0,Short Haul >1500Mi
AUS,DTW,167.0,Short Haul >1500Mi
AUS,ECP,109.0,Short Haul >1500Mi
AUS,EGE,163.0,Short Haul >1500Mi
AUS,ELP,94.0,Short Haul >1500Mi
AUS,EWR,215.0,Medium Haul <3000Mi
AUS,FLL,153.0,Short Haul >1500Mi
AUS,FSD,140.0,Short Haul >1500Mi
AUS,GRR,158.0,Short Haul >1500Mi
AUS,HNL,512.0,Long Haul <6000Mi
AUS,HOU,50.0,Short Haul >1500Mi
AUS,HRL,61.0,Short Haul >1500Mi
AUS,IAD,183.0,Short Haul >1500Mi
AUS,IAH,60.0,Short Haul >1500Mi
AUS,IND,137.0,Short Haul >1500Mi
AUS,JAX,138.0,Short Haul >1500Mi
AUS,JFK,219.0,Medium Haul <3000Mi
AUS,LAS,171.0,Short Haul >1500Mi
AUS,LAX,194.0,Short Haul >1500Mi
AUS,LBB,69.0,Short Haul >1500Mi
AUS,LGB,187.0,Short Haul >1500Mi
AUS,MAF,63.0,Short Haul >1500Mi
AUS,MCI,107.0,Short Haul >1500Mi
AUS,MCO,146.0,Short Haul >1500Mi
AUS,MDW,144.0,Short Haul >1500Mi
AUS,MEM,99.0,Short Haul >1500Mi
AUS,MIA,158.0,Short Haul >1500Mi
AUS,MSN,151.5,Short Haul >1500Mi
AUS,MSP,156.0,Short Haul >1500Mi
AUS,MSY,77.0,Short Haul >1500Mi
AUS,MTJ,142.0,Short Haul >1500Mi
AUS,OAK,220.0,Short Haul >1500Mi
AUS,OKC,74.0,Short Haul >1500Mi
AUS,OMA,121.0,Short Haul >1500Mi
AUS,ONT,180.0,Short Haul >1500Mi
AUS,ORD,157.0,Short Haul >1500Mi
AUS,PDX,253.0,Medium Haul <3000Mi
AUS,PHL,199.0,Short Haul >1500Mi
AUS,PHX,146.0,Short Haul >1500Mi
AUS,PIT,163.0,Short Haul >1500Mi
AUS,PNS,103.5,Short Haul >1500Mi
AUS,PSP,187.0,Short Haul >1500Mi
AUS,PVU,164.0,Short Haul >1500Mi
AUS,RDU,165.0,Short Haul >1500Mi
AUS,RNO,215.0,Short Haul >1500Mi
AUS,RSW,146.0,Short Haul >1500Mi
AUS,SAF,112.5,Short Haul >1500Mi
AUS,SAN,179.0,Short Haul >1500Mi
AUS,SDF,135.0,Short Haul >1500Mi
AUS,SEA,265.0,Medium Haul <3000Mi
AUS,SFB,150.5,Short Haul >1500Mi
AUS,SFO,227.0,Medium Haul <3000Mi
AUS,SJC,220.0,Short Haul >1500Mi
AUS,SLC,170.0,Short Haul >1500Mi
AUS,SMF,221.0,Short Haul >1500Mi
AUS,SNA,188.0,Short Haul >1500Mi
AUS,SRQ,141.0,Short Haul >1500Mi
AUS,STL,116.0,Short Haul >1500Mi
AUS,TPA,133.0,Short Haul >1500Mi
AUS,TUL,79.0,Short Haul >1500Mi
AUS,TYS,127.0,Short Haul >1500Mi
AUS,VPS,113.0,Short Haul >1500Mi
AVL,ATL,54.0,Short Haul >1500Mi
AVL,AUS,154.5,Short Haul >1500Mi
AVL,BOS,125.0,Short Haul >1500Mi
AVL,BWI,83.0,Short Haul >1500Mi
AVL,CLT,59.0,Short Haul >1500Mi
AVL,DCA,87.0,Short Haul >1500Mi
AVL,DEN,208.0,Short Haul >1500Mi
AVL,DFW,158.0,Short Haul >1500Mi
AVL,EWR,111.0,Short Haul >1500Mi
AVL,EYW,117.0,Short Haul >1500Mi
AVL,FLL,113.0,Short Haul >1500Mi
AVL,HOU,140.0,Short Haul >1500Mi
AVL,LAS,267.0,Medium Haul <3000Mi
AVL,LGA,107.0,Short Haul >1500Mi
AVL,MDW,97.0,Short Haul >1500Mi
AVL,MIA,120.0,Short Haul >1500Mi
AVL,MSP,144.0,Short Haul >1500Mi
AVL,ORD,117.0,Short Haul >1500Mi
AVL,PBI,105.0,Short Haul >1500Mi
AVL,PGD,103.0,Short Haul >1500Mi
AVL,PHL,92.0,Short Haul >1500Mi
AVL,PHX,246.5,Medium Haul <3000Mi
AVL,PIE,95.0,Short Haul >1500Mi
AVL,SFB,86.0,Short Haul >1500Mi
AVL,SRQ,98.0,Short Haul >1500Mi
AVL,VPS,87.0,Short Haul >1500Mi
AVP,CLT,103.0,Short Haul >1500Mi
AVP,EWR,55.5,Short Haul >1500Mi
AVP,ORD,141.0,Short Haul >1500Mi
AZA,ATW,196.0,Short Haul >1500Mi
AZA,BIL,136.0,Short Haul >1500Mi
AZA,BIS,156.0,Short Haul >1500Mi
AZA,BLI,185.0,Short Haul >1500Mi
AZA,BLV,170.0,Short Haul >1500Mi
AZA,BOI,123.0,Short Haul >1500Mi
AZA,BZN,134.0,Short Haul >1500Mi
AZA,CID,169.0,Short Haul >1500Mi
AZA,CVG,204.0,Medium Haul <3000Mi
AZA,DSM,162.0,Short Haul >1500Mi
AZA,EUG,154.0,Short Haul >1500Mi
AZA,FAR,171.0,Short Haul >1500Mi
AZA,FCA,157.0,Short Haul >1500Mi
AZA,FNT,213.0,Medium Haul <3000Mi
AZA,FSD,153.0,Short Haul >1500Mi
AZA,FWA,201.0,Medium Haul <3000Mi
AZA,GEG,156.0,Short Haul >1500Mi
AZA,GFK,177.0,Short Haul >1500Mi
AZA,GJT,83.0,Short Haul >1500Mi
AZA,GRI,134.0,Short Haul >1500Mi
AZA,GRR,201.0,Medium Haul <3000Mi
AZA,GTF,152.0,Short Haul >1500Mi
AZA,HOU,144.0,Short Haul >1500Mi
AZA,ICT,127.0,Short Haul >1500Mi
AZA,IDA,115.0,Short Haul >1500Mi
AZA,LAS,71.0,Short Haul >1500Mi
AZA,MFR,147.5,Short Haul >1500Mi
AZA,MLI,169.0,Short Haul >1500Mi
AZA,MOT,168.0,Short Haul >1500Mi
AZA,MSO,146.0,Short Haul >1500Mi
AZA,MSP,176.0,Short Haul >1500Mi
AZA,OMA,150.0,Short Haul >1500Mi
AZA,PDX,166.0,Short Haul >1500Mi
AZA,PIA,173.0,Short Haul >1500Mi
AZA,PSC,154.0,Short Haul >1500Mi
AZA,PVU,89.0,Short Haul >1500Mi
AZA,RAP,131.0,Short Haul >1500Mi
AZA,RFD,179.0,Short Haul >1500Mi
AZA,SAN,70.5,Short Haul >1500Mi
AZA,SBN,197.5,Medium Haul <3000Mi
AZA,SGF,146.0,Short Haul >1500Mi
AZA,SNA,101.0,Short Haul >1500Mi
AZA,SPI,170.0,Short Haul >1500Mi
AZA,STC,180.0,Short Haul >1500Mi
AZA,TOL,203.0,Medium Haul <3000Mi
AZA,TUL,120.0,Short Haul >1500Mi
AZA,TVC,208.0,Medium Haul <3000Mi
AZA,XNA,137.0,Short Haul >1500Mi
AZO,DTW,51.0,Short Haul >1500Mi
AZO,ORD,72.0,Short Haul >1500Mi
BDL,ATL,144.0,Short Haul >1500Mi
BDL,BNA,140.0,Short Haul >1500Mi
BDL,BWI,68.0,Short Haul >1500Mi
BDL,CLT,123.0,Short Haul >1500Mi
BDL,DCA,85.0,Short Haul >1500Mi
BDL,DEN,258.0,Medium Haul <3000Mi
BDL,DFW,238.0,Short Haul >1500Mi
BDL,DTW,109.0,Short Haul >1500Mi
BDL,FLL,186.0,Short Haul >1500Mi
BDL,IAD,80.0,Short Haul >1500Mi
BDL,IAH,217.0,Medium Haul <3000Mi
BDL,LAS,363.5,Medium Haul <3000Mi
BDL,LAX,358.0,Medium Haul <3000Mi
BDL,LGA,56.0,Short Haul >1500Mi
BDL,MCO,174.0,Short Haul >1500Mi
BDL,MDW,136.0,Short Haul >1500Mi
BDL,MIA,190.5,Short Haul >1500Mi
BDL,MSP,171.0,Short Haul >1500Mi
BDL,MYR,113.0,Short Haul >1500Mi
BDL,ORD,156.0,Short Haul >1500Mi
BDL,PBI,179.0,Short Haul >1500Mi
BDL,PHL,72.0,Short Haul >1500Mi
BDL,RDU,112.0,Short Haul >1500Mi
BDL,RSW,193.5,Short Haul >1500Mi
BDL,SJU,229.0,Medium Haul <3000Mi
BDL,TPA,176.0,Short Haul >1500Mi
BET,ANC,71.0,Short Haul >1500Mi
BFF,DEN,60.0,Short Haul >1500Mi
BFL,DEN,142.0,Short Haul >1500Mi
BFL,DFW,182.0,Short Haul >1500Mi
BFL,PHX,91.0,Short Haul >1500Mi
BFL,SFO,67.0,Short Haul >1500Mi
BGM,DTW,86.0,Short Haul >1500Mi
BGM,LGA,59.0,Short Haul >1500Mi
BGR,CLT,156.0,Short Haul >1500Mi
BGR,DCA,119.0,Short Haul >1500Mi
BGR,EWR,108.0,Short Haul >1500Mi
BGR,FLL,222.0,Short Haul >1500Mi
BGR,JFK,98.0,Short Haul >1500Mi
BGR,LGA,93.0,Short Haul >1500Mi
BGR,ORD,176.5,Short Haul >1500Mi
BGR,PGD,229.5,Short Haul >1500Mi
BGR,PHL,103.0,Short Haul >1500Mi
BGR,PIE,210.0,Short Haul >1500Mi
BGR,SFB,199.0,Short Haul >1500Mi
BHM,ATL,56.0,Short Haul >1500Mi
BHM,AUS,121.0,Short Haul >1500Mi
BHM,BTR,88.0,Short Haul >1500Mi
BHM,BWI,110.0,Short Haul >1500Mi
BHM,CLL,116.0,Short Haul >1500Mi
BHM,CLT,89.0,Short Haul >1500Mi
BHM,DAL,105.0,Short Haul >1500Mi
BHM,DCA,117.0,Short Haul >1500Mi
BHM,DEN,186.0,Short Haul >1500Mi
BHM,DFW,124.0,Short Haul >1500Mi
BHM,DTW,117.0,Short Haul >1500Mi
BHM,HOU,103.0,Short Haul >1500Mi
BHM,IAH,121.0,Short Haul >1500Mi
BHM,LAS,240.0,Medium Haul <3000Mi
BHM,LAX,265.5,Medium Haul <3000Mi
BHM,LGA,140.0,Short Haul >1500Mi
BHM,MCO,89.0,Short Haul >1500Mi
BHM,MDW,102.0,Short Haul >1500Mi
BHM,MIA,113.0,Short Haul >1500Mi
BHM,ORD,127.0,Short Haul >1500Mi
BHM,PHL,127.0,Short Haul >1500Mi
BHM,TPA,81.0,Short Haul >1500Mi
BHM,XNA,92.0,Short Haul >1500Mi
BIH,DEN,131.0,Short Haul >1500Mi
BIH,SFO,64.0,Short Haul >1500Mi
BIL,AZA,138.0,Short Haul >1500Mi
BIL,DEN,94.0,Short Haul >1500Mi
BIL,DFW,164.0,Short Haul >1500Mi
BIL,LAS,127.0,Short Haul >1500Mi
BIL,MSP,117.0,Short Haul >1500Mi
BIL,ORD,163.0,Short Haul >1500Mi
BIL,PHX,145.5,Short Haul >1500Mi
BIL,SLC,81.0,Short Haul >1500Mi
BIS,AZA,166.0,Short Haul >1500Mi
BIS,DEN,109.0,Short Haul >1500Mi
BIS,DFW,156.0,Short Haul >1500Mi
BIS,LAS,162.0,Short Haul >1500Mi
BIS,MSP,81.0,Short Haul >1500Mi
BIS,SFB,213.0,Medium Haul <3000Mi
BJI,MSP,56.0,Short Haul >1500Mi
BLI,AZA,178.5,Short Haul >1500Mi
BLI,DEN,155.0,Short Haul >1500Mi
BLI,LAS,149.0,Short Haul >1500Mi
BLI,LAX,163.0,Short Haul >1500Mi
BLI,OAK,122.0,Short Haul >1500Mi
BLI,PSP,163.0,Short Haul >1500Mi
BLI,SAN,168.5,Short Haul >1500Mi
BLI,SEA,47.0,Short Haul >1500Mi
BLV,AZA,201.0,Short Haul >1500Mi
BLV,FLL,154.0,Short Haul >1500Mi
BLV,JAX,114.0,Short Haul >1500Mi
BLV,LAS,220.0,Short Haul >1500Mi
BLV,MYR,108.0,Short Haul >1500Mi
BLV,PGD,142.0,Short Haul >1500Mi
